2020,Spiritbox,Holly Roller,https://open.spotify.com/track/3BaiNFgTdjprkE4k2760Ds?si=c6b96e99df0e4ba4
2020,Burry Tomorrow,Choke,https://open.spotify.com/track/2KGCOtaTbNIbwrxS0a2UMv?si=13a90ef7d7ea4d61
2020,Loathe,Two-Way-Mirror,https://open.spotify.com/track/0b4TKuvZ4eJ8eHgJgXaCnN?si=2052cb73443545f4
2020,Bring Me The Horizon (feat. Babymetal) ,Kingsalyer,https://open.spotify.com/track/7CAbF0By0Fpnbiu6Xn5ZF7?si=952d78ea8c624d44
2021,Electric Callboy,Hypa Hypa,https://open.spotify.com/track/2qOmcSjOQEDIJKosonn75a?si=e622ed7ededc425b
2021,Sleep Token,Alkaline,https://open.spotify.com/track/0B4YX3OMtZSmPm9KpiZKl2?si=2f690dda6e454ea0
2021,Lorna Shore,Of the Abyss,https://open.spotify.com/track/3wzAXBZ6mhuYEzf2IJAbDc?si=eeccc0f309e1431b
2022,Parkway Drive,Glitch,https://open.spotify.com/track/1jKH10ufuA4EzUCdobVxu0?si=a311009d462343c3
2022,Lorna Shore,Cursed to Die,https://open.spotify.com/track/1nqXQo7YXVQsUBflLauyzI?si=496aedd7f7454d77
2022,Electric Callboy,Pump it,https://open.spotify.com/track/6emZMVNvIxW57fhxPlyxLp?si=36f71b6002e84dd2
2023,In Flames,Meet Your Maker,https://open.spotify.com/track/5qZMqZspIglsy4SJxtJt0S?si=155735377aa94da0
2023,TesseracT,War Of Being,https://open.spotify.com/track/2EPRtEu3qV6YiFKQmNU3RF?si=7f7b2473677c4f8e
2023,Sleep Token,Vore,https://open.spotify.com/track/3lYdGoYMQVn8ywkbd6X6fZ?si=f5b0587006cb4803
2024,Make Them Suffer,Mana God,https://open.spotify.com/track/7efju7ceWRoeHSQytZf4e4?si=6916424e404d4718
2024,Spiritbox,Soft Spine,https://open.spotify.com/track/4bkPAARkDov1lV05emEF7a?si=c344199287124d31
2024,Knocked Loose (feat. Poppy),Suffocate,https://open.spotify.com/track/6PXYOVPBzO3xojFhQAvmde?si=bccde4b8493b49d8
2024,Imminence,The Black,https://open.spotify.com/track/57yz82UQU8ggCxQbQN3xcU?si=b259fec9bf7545e4
2025,Burry Tomorrow,Let Go,https://open.spotify.com/track/4UibdhxqKDVdz2p0PBb3a8?si=0c76810ad9f947fd
2025,Spiritbox,"No Loss, No Love",https://open.spotify.com/track/2wwxE7Ww8UfcDtXCiLlnsB?si=4e58eada541e46f8
